Allowed
KRBL.NS
KSB.NS
KSCL.NS
KTKBANK.NS
L&TFH.NS
LALPATHLAB.NS
LAXMIMACH.NS
LICHSGFIN.NS
LINDEINDIA.NS
LT.NS
LTI.NS
LTTS.NS
LUPIN.NS
LUXIND.NS
M&M.NS
M&MFIN.NS
MAHEPC.NS
MAHSEAMLES.NS
MANAPPURAM.NS
MANGLMCEM.NS
MARICO.NS
MARUTI.NS
MAZDOCK.NS
MCDOWELL-N.NS
MCX.NS
MEGH.NS
METROPOLIS.NS
MFSL.NS
MGL.NS
MIDHANI.NS
MINDACORP.NS
MINDTREE.NS
MMTC.NS
MOIL.NS
MOLDTKPAC.NS
MOTHERSUMI.NS
MOTILALOFS.NS
MPHASIS.NS
MRF.NS
MRPL.NS
MUTHOOTFIN.NS
NATCOPHARM.NS
NATIONALUM.NS
NAUKRI.NS
NAVKARCORP.NS
NBCC.NS
NCC.NS
NCLIND.NS
NESCO.NS
NESTLEIND.NS
NH.NS
NIACL.NS
NIFTYBEES.NS
NLCINDIA.NS
NMDC.NS
NOCIL.NS
NTPC.NS
OBEROIRLTY.NS
OFSS.NS
OIL.NS
ONGC.NS
ORIENTELEC.NS
PAGEIND.NS
PAPERPROD.NS
PEL.NS
PETRONET.NS
PFC.NS
PFIZER.NS
PGHH.NS
PGHL.NS
PHILIPCARB.NS
PHOENIXLTD.NS
PIDILITIND.NS
PIIND.NS
PNB.NS
PNBGILTS.NS
POLYCAB.NS
POLYMED.NS
POWERGRID.NS
PRAJIND.NS
PRESTIGE.NS
PTC.NS
PURVA.NS
PVR.NS
QUICKHEAL.NS
RADICO.NS
RAIN.NS
RAJESHEXPO.NS
RALLIS.NS
RAMCOCEM.NS
RAMCOIND.NS
RBLBANK.NS
RCF.NS
RECLTD.NS
REDINGTON.NS
RELAXO.NS
RELIANCE.NS
RITES.NS
ROHLTD.NS
ROSSARI.NS
SAIL.NS
SANDHAR.NS
SANOFI.NS
SARDAEN.NS
SBICARD.NS
SBILIFE.NS
SBIN.NS
SCHAEFFLER.NS
SCI.NS
SFL.NS
SHK.NS
SHREECEM.NS
SIEMENS.NS
SIS.NS
SIYSIL.NS
SJVN.NS
SKFINDIA.NS
SOLARINDS.NS
SONATSOFTW.NS
SPARC.NS
SPENCERS.NS
SRF.NS
SRTRANSFIN.NS
STAR.NS
STARCEMENT.NS
SUDARSCHEM.NS
SUMICHEM.NS
SUNDARMFIN.NS
SUNDRMFAST.NS
SUNPHARMA.NS
SUNTV.NS
SUPRAJIT.NS
SUPREMEIND.NS
SYMPHONY.NS
SYNGENE.NS
TASTYBITE.NS
TATACHEM.NS
TATACOFFEE.NS
TATACONSUM.NS
TATAELXSI.NS
TATAINVEST.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TATASTLBSL.NS
TCI.NS
TCS.NS
TEAMLEASE.NS
TECHM.NS
THERMAX.NS
TIDEWATER.NS
TITAN.NS
TNPETRO.NS
TNPL.NS
TORNTPHARM.NS
TORNTPOWER.NS
TRENT.NS
TRITURBINE.NS
TTKPRESTIG.NS
TVSMOTOR.NS
TVSSRICHAK.NS
UBL.NS
UFLEX.NS
UJJIVAN.NS
ULTRACEMCO.NS
UNIONBANK.NS
UPL.NS
UTIAMC.NS
VBL.NS
VEDL.NS
VGUARD.NS
VIMTALABS.NS
VIPIND.NS
VMART.NS
VOLTAMP.NS
VOLTAS.NS
VSTIND.NS
WABCOINDIA.NS
WATERBASE.NS
WESTLIFE.NS
WHIRLPOOL.NS
WIPRO.NS
WONDERLA.NS
ZEEL.NS
ZYDUSWELL.NS
